Treasure Class	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Act 1 Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip B	37	Act 1 Good	3															0
Act 1 Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip C	37	Act 1 Good	3															0
Act 2 Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip A	37	Act 2 Good	3															0
Act 2 Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip B	37	Act 2 Good	3															0
Act 2 Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip C	37	Act 3 Good	3															0
Act 3 Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip A	37	Act 3 Good	3															0
Act 3 Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip B	37	Act 3 Good	3															0
Act 3 Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip C	37	Act 3 Good	3															0
Act 4 Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip A	37	Act 4 Good	3															0
Act 4 Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip B	37	Act 4 Good	3															0
Act 5 Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip A	37	Act 5 Good	3															0
Act 5 Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip B	37	Act 5 Good	3															0
Act 5 Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip C	37	Act 5 Good	3															0
Act 1 (N) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip A	37	Act 1 (N) Good	3															0
Act 1 (N) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3															0
Act 1 (N) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3															0
Act 2 (N) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip A	37	Act 2 (N) Good	3															0
Act 2 (N) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3															0
Act 2 (N) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3															0
Act 3 (N) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip A	37	Act 3 (N) Good	3															0
Act 3 (N) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3															0
Act 3 (N) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3															0
Act 4 (N) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip A	37	Act 4 (N) Good	3															0
Act 4 (N) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip B	37	Act 4 (N) Good	3															0
Act 5 (N) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip A	37	Act 5 (N) Good	3															0
Act 5 (N) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip B	37	Act 5 (N) Good	3															0
Act 5 (N) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip C	37	Act 5 (N) Good	3															0
Act 1 (H) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip A	37	Act 1 (H) Good	3															0
Act 1 (H) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3															0
Act 1 (H) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3															0
Act 2 (H) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip A	37	Act 2 (H) Good	3															0
Act 2 (H) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3															0
Act 2 (H) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3															0
Act 3 (H) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip A	37	Act 3 (H) Good	3															0
Act 3 (H) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3															0
Act 3 (H) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3															0
Act 4 (H) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip A	37	Act 4 (H) Good	3															0
Act 4 (H) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip B	37	Act 4 (H) Good	3															0
Act 5 (H) Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip A	37	Act 5 (H) Good	3															0
Act 5 (H) Citem B	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip B	37	Act 5 (H) Good	3															0
Act 5 (H) Citem C	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Act 5 (H) Good	3															0
Act 1 Cpot A	-2					0	Hpotion 1	4																			0
Act 1 Cpot B	-2					0	Hpotion 1	4																			0
Act 1 Cpot C	-2					0	Hpotion 1	4																			0
Act 2 Cpot A	-2					0	Hpotion 1	4	Hpotion 2	8																	0
Act 2 Cpot B	-2					0	Hpotion 1	4	Hpotion 2	8																	0
Act 2 Cpot C	-2					0	Hpotion 1	4	Hpotion 2	8																	0
Act 3 Cpot A	-2					0	Hpotion 1	4	Hpotion 2	8	Hpotion 3	24															0
Act 3 Cpot B	-2					0	Hpotion 1	4	Hpotion 2	8	Hpotion 3	24															0
Act 3 Cpot C	-2					0	Hpotion 1	4	Hpotion 2	8	Hpotion 3	24															0
Act 4 Cpot A	-2					0	Hpotion 1	1	Hpotion 2	1	Hpotion 3	2	Hpotion 4	4													0
Act 4 Cpot B	-2					0	Hpotion 1	1	Hpotion 2	1	Hpotion 3	2	Hpotion 4	4													0
Act 5 Cpot A	-2					0	Hpotion 2	1	Hpotion 3	2	Hpotion 4	4	Hpotion 5	8													0
Act 5 Cpot B	-2					0	Hpotion 2	1	Hpotion 3	2	Hpotion 4	4	Hpotion 5	8													0
Act 5 Cpot C	-2					0	Hpotion 2	1	Hpotion 3	2	Hpotion 4	4	Hpotion 5	8													0
Act 1 (N) Cpot A	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8													0
Act 1 (N) Cpot B	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 1 (N) Cpot C	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (N) Cpot A	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (N) Cpot B	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (N) Cpot C	-2					0	Hpotion 3	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (N) Cpot A	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (N) Cpot B	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (N) Cpot C	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 4 (N) Cpot A	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 4 (N) Cpot B	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (N) Cpot A	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (N) Cpot B	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (N) Cpot C	-2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 1 (H) Cpot A	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 1 (H) Cpot B	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 1 (H) Cpot C	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (H) Cpot A	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (H) Cpot B	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 2 (H) Cpot C	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (H) Cpot A	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (H) Cpot B	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 3 (H) Cpot C	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 4 (H) Cpot A	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 4 (H) Cpot B	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (H) Cpot A	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (H) Cpot B	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 5 (H) Cpot C	-2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7									0
Act 1 Champ A	-2					0	Act 1 Citem A	1	Act 1 Cpot A	2																	0
Act 1 Champ B	-2					0	Act 1 Citem B	1	Act 1 Cpot B	1																	0
Act 1 Champ C	-2					0	Act 1 Citem C	1	Act 1 Cpot C	1																	0
Act 2 Champ A	-2					0	Act 2 Citem A	1	Act 2 Cpot A	1																	0
Act 2 Champ B	-2					0	Act 2 Citem B	1	Act 2 Cpot B	1																	0
Act 2 Champ C	-2					0	Act 2 Citem C	1	Act 2 Cpot C	1																	0
Act 3 Champ A	-2					0	Act 3 Citem A	1	Act 3 Cpot A	1																	0
Act 3 Champ B	-2					0	Act 3 Citem B	1	Act 3 Cpot B	1																	0
Act 3 Champ C	-2					0	Act 3 Citem C	1	Act 3 Cpot C	1																	0
Act 4 Champ A	-2					0	Act 4 Citem A	1	Act 4 Cpot A	1																	0
Act 4 Champ B	-2					0	Act 4 Citem B	1	Act 4 Cpot B	1																	0
Act 5 Champ A	-2					0	Act 5 Citem A	1	Act 5 Cpot A	1																	0
Act 5 Champ B	-2					0	Act 5 Citem B	1	Act 5 Cpot B	1																	0
Act 5 Champ C	-2					0	Act 5 Citem C	1	Act 5 Cpot C	1																	0
Act 1 (N) Champ A	-2					0	Act 1 (N) Citem A	1	Act 1 (N) Cpot A	1																	0
Act 1 (N) Champ B	-2					0	Act 1 (N) Citem B	1	Act 1 (N) Cpot B	1																	0
Act 1 (N) Champ C	-2					0	Act 1 (N) Citem C	1	Act 1 (N) Cpot C	1																	0
Act 2 (N) Champ A	-2					0	Act 2 (N) Citem A	1	Act 2 (N) Cpot A	1																	0
Act 2 (N) Champ B	-2					0	Act 2 (N) Citem B	1	Act 2 (N) Cpot B	1																	0
Act 2 (N) Champ C	-2					0	Act 2 (N) Citem C	1	Act 2 (N) Cpot C	1																	0
Act 3 (N) Champ A	-2					0	Act 3 (N) Citem A	1	Act 3 (N) Cpot A	1																	0
Act 3 (N) Champ B	-2					0	Act 3 (N) Citem B	1	Act 3 (N) Cpot B	1																	0
Act 3 (N) Champ C	-2					0	Act 3 (N) Citem C	1	Act 3 (N) Cpot C	1																	0
Act 4 (N) Champ A	-2					0	Act 4 (N) Citem A	1	Act 4 (N) Cpot A	1																	0
Act 4 (N) Champ B	-2					0	Act 4 (N) Citem B	1	Act 4 (N) Cpot B	1																	0
Act 5 (N) Champ A	-2					0	Act 5 (N) Citem A	1	Act 5 (N) Cpot A	1																	0
Act 5 (N) Champ B	-2					0	Act 5 (N) Citem B	1	Act 5 (N) Cpot B	1																	0
Act 1 (H) Champ A	-2					0	Act 1 (H) Citem A	1	Act 1 (H) Cpot A	1																	0
Act 1 (H) Champ B	-2					0	Act 1 (H) Citem B	1	Act 1 (H) Cpot B	1																	0
Act 1 (H) Champ C	-2					0	Act 1 (H) Citem C	1	Act 1 (H) Cpot C	1																	0
Act 2 (H) Champ A	-2					0	Act 2 (H) Citem A	1	Act 2 (H) Cpot A	1																	0
Act 2 (H) Champ B	-2					0	Act 2 (H) Citem B	1	Act 2 (H) Cpot B	1																	0
Act 2 (H) Champ C	-2					0	Act 2 (H) Citem C	1	Act 2 (H) Cpot C	1																	0
Act 3 (H) Champ A	-2					0	Act 3 (H) Citem A	1	Act 3 (H) Cpot A	1																	0
Act 3 (H) Champ B	-2					0	Act 3 (H) Citem B	1	Act 3 (H) Cpot B	1																	0
Act 3 (H) Champ C	-2					0	Act 3 (H) Citem C	1	Act 3 (H) Cpot C	1																	0
Act 4 (H) Champ A	-2					0	Act 4 (H) Citem A	1	Act 4 (H) Cpot A	1																	0
Act 4 (H) Champ B	-2					0	Act 4 (H) Citem B	1	Act 4 (H) Cpot B	1																	0
Act 5 (H) Champ A	-2					0	Act 5 (H) Citem A	1	Act 5 (H) Cpot A	1																	0
Act 5 (H) Champ B	-2					0	Act 5 (H) Citem B	1	Act 5 (H) Cpot B	1																	0
Act 5 (H) Champ C	-2					0	Act 5 (H) Citem C	1	Act 5 (H) Cpot C	1																	0
Act 1 Uitem A	1	800	800	800	1024	0	Act 1 Equip A	58	Act 1 Good	4																	0
Act 1 Uitem B	1	800	800	800	1024	0	Act 1 Equip B	58	Act 1 Good	4																	0
Act 1 Uitem C	1	800	800	800	1024	0	Act 1 Equip C	58	Act 1 Good	4																	0
Act 2 Uitem A	1	800	800	800	1024	0	Act 2 Equip A	58	Act 2 Good	4																	0
Act 2 Uitem B	1	800	800	800	1024	0	Act 2 Equip B	58	Act 2 Good	4																	0
Act 2 Uitem C	1	800	800	800	1024	0	Act 2 Equip C	58	Act 3 Good	4																	0
Act 3 Uitem A	1	800	800	800	1024	0	Act 3 Equip A	58	Act 3 Good	4																	0
Act 3 Uitem B	1	800	800	800	1024	0	Act 3 Equip B	58	Act 3 Good	4																	0
Act 3 Uitem C	1	800	800	800	1024	0	Act 3 Equip C	58	Act 3 Good	4																	0
Act 4 Uitem A	1	800	800	800	1024	0	Act 4 Equip A	58	Act 4 Good	4																	0
Act 4 Uitem B	1	800	800	800	1024	0	Act 4 Equip B	58	Act 4 Good	4																	0
Act 5 Uitem A	1	800	800	800	1024	0	Act 5 Equip A	58	Act 5 Good	4																	0
Act 5 Uitem B	1	800	800	800	1024	0	Act 5 Equip B	58	Act 5 Good	4																	0
Act 5 Uitem C	1	800	800	800	1024	0	Act 5 Equip C	58	Act 5 Good	4																	0
Act 1 (N) Uitem A	1	800	800	800	1024	0	Act 1 (N) Equip A	58	Act 1 (N) Good	4																	0
Act 1 (N) Uitem B	1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																	0
Act 1 (N) Uitem C	1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																	0
Act 2 (N) Uitem A	1	800	800	800	1024	0	Act 2 (N) Equip A	58	Act 2 (N) Good	4																	0
Act 2 (N) Uitem B	1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																	0
Act 2 (N) Uitem C	1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																	0
Act 3 (N) Uitem A	1	800	800	800	1024	0	Act 3 (N) Equip A	58	Act 3 (N) Good	4																	0
Act 3 (N) Uitem B	1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																	0
Act 3 (N) Uitem C	1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																	0
Act 4 (N) Uitem A	1	800	800	800	1024	0	Act 4 (N) Equip A	58	Act 4 (N) Good	4																	0
Act 4 (N) Uitem B	1	800	800	800	1024	0	Act 4 (N) Equip B	58	Act 4 (N) Good	4																	0
Act 5 (N) Uitem A	1	800	800	800	1024	0	Act 5 (N) Equip A	58	Act 5 (N) Good	4																	0
Act 5 (N) Uitem B	1	800	800	800	1024	0	Act 5 (N) Equip B	58	Act 5 (N) Good	4																	0
Act 5 (N) Uitem C	1	800	800	800	1024	0	Act 5 (N) Equip C	58	Act 5 (N) Good	4																	0
Act 1 (H) Uitem A	1	800	800	800	1024	0	Act 1 (H) Equip A	58	Act 1 (H) Good	4																	0
Act 1 (H) Uitem B	1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																	0
Act 1 (H) Uitem C	1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																	0
Act 2 (H) Uitem A	1	800	800	800	1024	0	Act 2 (H) Equip A	58	Act 2 (H) Good	4																	0
Act 2 (H) Uitem B	1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																	0
Act 2 (H) Uitem C	1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																	0
Act 3 (H) Uitem A	1	800	800	800	1024	0	Act 3 (H) Equip A	58	Act 3 (H) Good	4																	0
Act 3 (H) Uitem B	1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																	0
Act 3 (H) Uitem C	1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																	0
Act 4 (H) Uitem A	1	800	800	800	1024	0	Act 4 (H) Equip A	58	Act 4 (H) Good	4																	0
Act 4 (H) Uitem B	1	800	800	800	1024	0	Act 4 (H) Equip B	58	Act 4 (H) Good	4																	0
Act 5 (H) Uitem A	1	800	800	800	1024	0	Act 5 (H) Equip A	58	Act 5 (H) Good	4																	0
Act 5 (H) Uitem B	1	800	800	800	1024	0	Act 5 (H) Equip B	58	Act 5 (H) Good	4																	0
Act 5 (H) Uitem C	1	800	800	800	1024	0	Act 5 (H) Equip C	58	Act 5 (H) Good	4																	0
Act 1 Unique A	-3					0	Act 1 Uitem A	1	Act 1 Cpot A	2																	0
Act 1 Unique B	-3					0	Act 1 Uitem B	1	Act 1 Cpot B	2																	0
Act 1 Unique C	-3					0	Act 1 Uitem C	1	Act 1 Cpot C	2																	0
Act 2 Unique A	-3					0	Act 2 Uitem A	1	Act 2 Cpot A	2																	0
Act 2 Unique B	-3					0	Act 2 Uitem B	1	Act 2 Cpot B	2																	0
Act 2 Unique C	-3					0	Act 2 Uitem C	1	Act 2 Cpot C	2																	0
Act 3 Unique A	-3					0	Act 3 Uitem A	1	Act 3 Cpot A	2																	0
Act 3 Unique B	-3					0	Act 3 Uitem B	1	Act 3 Cpot B	2																	0
Act 3 Unique C	-3					0	Act 3 Uitem C	1	Act 3 Cpot C	2																	0
Act 4 Unique A	-3					0	Act 4 Uitem A	1	Act 4 Cpot A	2																	0
Act 4 Unique B	-3					0	Act 4 Uitem B	1	Act 4 Cpot B	2																	0
Act 5 Unique A	-3					0	Act 5 Uitem A	1	Act 5 Cpot A	2																	0
Act 5 Unique B	-3					0	Act 5 Uitem B	1	Act 5 Cpot B	2																	0
Act 5 Unique C	-3					0	Act 5 Uitem C	1	Act 5 Cpot C	2																	0
Act 1 (N) Unique A	-3					0	Act 1 (N) Uitem A	1	Act 1 (N) Cpot A	2																	0
Act 1 (N) Unique B	-3					0	Act 1 (N) Uitem B	1	Act 1 (N) Cpot B	2																	0
Act 1 (N) Unique C	-3					0	Act 1 (N) Uitem C	1	Act 1 (N) Cpot C	2																	0
Act 2 (N) Unique A	-3					0	Act 2 (N) Uitem A	1	Act 2 (N) Cpot A	2																	0
Act 2 (N) Unique B	-3					0	Act 2 (N) Uitem B	1	Act 2 (N) Cpot B	2																	0
Act 2 (N) Unique C	-3					0	Act 2 (N) Uitem C	1	Act 2 (N) Cpot C	2																	0
Act 3 (N) Unique A	-3					0	Act 3 (N) Uitem A	1	Act 3 (N) Cpot A	2																	0
Act 3 (N) Unique B	-3					0	Act 3 (N) Uitem B	1	Act 3 (N) Cpot B	2																	0
Act 3 (N) Unique C	-3					0	Act 3 (N) Uitem C	1	Act 3 (N) Cpot C	2																	0
Act 4 (N) Unique A	-3					0	Act 4 (N) Uitem A	1	Act 4 (N) Cpot A	2																	0
Act 4 (N) Unique B	-3					0	Act 4 (N) Uitem B	1	Act 4 (N) Cpot B	2																	0
Act 5 (N) Unique A	-3					0	Act 5 (N) Uitem A	1	Act 5 (N) Cpot A	2																	0
Act 5 (N) Unique B	-3					0	Act 5 (N) Uitem B	1	Act 5 (N) Cpot B	2																	0
Act 5 (N) Unique C	-3					0	Act 5 (N) Uitem C	1	Act 5 (N) Cpot C	2																	0
Act 1 (H) Unique A	-3					0	Act 1 (H) Uitem A	1	Act 1 (H) Cpot A	2																	0
Act 1 (H) Unique B	-3					0	Act 1 (H) Uitem B	1	Act 1 (H) Cpot B	2																	0
Act 1 (H) Unique C	-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Cpot C	2																	0
Act 2 (H) Unique A	-3					0	Act 2 (H) Uitem A	1	Act 2 (H) Cpot A	2																	0
Act 2 (H) Unique B	-3					0	Act 2 (H) Uitem B	1	Act 2 (H) Cpot B	2																	0
Act 2 (H) Unique C	-3					0	Act 2 (H) Uitem C	1	Act 2 (H) Cpot C	2																	0
Act 3 (H) Unique A	-3					0	Act 3 (H) Uitem A	1	Act 3 (H) Cpot A	2																	0
Act 3 (H) Unique B	-3					0	Act 3 (H) Uitem B	1	Act 3 (H) Cpot B	2																	0
Act 3 (H) Unique C	-3					0	Act 3 (H) Uitem C	1	Act 3 (H) Cpot C	2																	0
Act 4 (H) Unique A	-3					0	Act 4 (H) Uitem A	1	Act 4 (H) Cpot A	2																	0
Act 4 (H) Unique B	-3					0	Act 4 (H) Uitem B	1	Act 4 (H) Cpot B	2																	0
Act 5 (H) Unique A	-3					0	Act 5 (H) Uitem A	1	Act 5 (H) Cpot A	2																	0
Act 5 (H) Unique B	-3					0	Act 5 (H) Uitem B	1	Act 5 (H) Cpot B	2																	0
Act 5 (H) Unique C	-3					0	Act 5 (H) Uitem C	1	Act 5 (H) Cpot C	2																	0
Quill 1	1					200	gld	19	Act 1 Junk	19																	0
Quill 2	1					200	gld	19	Act 1 Junk	19																	0
Quill 3	1					200	gld	19	Act 1 Junk	19	Act 1 Good	1															0
Quill 4	1					200	gld	19	Act 1 Junk	19	Act 1 Good	1															0
Quill 5	1					200	gld	19	Act 3 Junk	19	Act 3 Good	1															0
Quill 1 (N)	1					200	gld	19	Act 1 (N) Junk	19																	0
Quill 2 (N)	1					200	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1															0
Quill 3 (N)	1					200	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1															0
Quill 4 (N)	1					200	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1															0
Quill 5 (N)	1					200	gld	19	Act 3 (N) Junk	19	Act 3 (N) Good	1															0
Quill 1 (H)	1					200	gld	19	Act 1 (H) Junk	19																	0
Quill 2 (H)	1					200	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3															0
Quill 3 (H)	1					200	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3															0
Quill 4 (H)	1					200	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3															0
Quill 5 (H)	1					200	gld	19	Act 3 (H) Junk	19	Act 3 (H) Good	3															0
Swarm 1	1					250	Potion 2	12	Misc 1	6	Act 2 Good	1	Act 2 Magic A	6													0
Swarm 2	1					250	Potion 3	12	Misc 2	6	Act 3 Good	1	Act 3 Magic A	6													0
Swarm 1 (N)	1					250	Potion 6	12	Misc 2	6	Act 2 (N) Good	1	Act 2 (N) Magic A	6													0
Swarm 2 (N)	1					250	Potion 6	12	Misc 2	6	Act 3 (N) Good	1	Act 3 (N) Magic A	6													0
Swarm 1 (H)	1					250	Potion 6	12	Misc 2	6	Act 2 (H) Good	1	Act 2 (H) Magic A	6													0
Swarm 2 (H)	1					250	Potion 6	12	Misc 2	6	Act 3 (H) Good	1	Act 3 (H) Magic A	6													0
Andariel	7	983	983	983	1024	19	"gld,mul=1280"	11	Act 2 Equip A	19	Act 2 Junk	15	Act 2 Good	3													0
Andariel (N)	7	983	983	983	1024	19	"gld,mul=1536"	11	Act 2 (N) Equip A	19	Act 2 (N) Junk	15	Act 2 (N) Good	3													0
Andariel (H)	7	983	983	983	1024	19	"gld,mul=2048"	11	Act 2 (H) Equip A	19	Act 2 (H) Junk	15	Act 2 (H) Good	3													0
Duriel	7	983	983	983	1024	19	"gld,mul=1280"	11	Act 3 Equip A	19	Act 3 Junk	15	Act 3 Good	3													0
Duriel (N)	7	983	983	983	1024	19	"gld,mul=1536"	11	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3													0
Duriel (H)	7	983	983	983	1024	19	"gld,mul=2048"	11	Act 3 (H) Equip A	19	Act 3 (H) Junk	15	Act 3 (H) Good	3													0
Radament	5	800	800	800	1024	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Junk	15	Act 3 Good	3													0
Radament (N)	5	800	800	800	1024	19	"gld,mul=1536"	11	Act 3 (N) Equip B	19	Act 3 (N) Junk	15	Act 3 (N) Good	3													0
Radament (H)	5	800	800	800	1024	19	"gld,mul=2048"	11	Act 3 (H) Equip C	19	Act 3 (H) Junk	15	Act 3 (H) Good	3													0
Flying Scimitar	1					200	Act 2 Good	3	scm	57																	0
Flying Scimitar (N)	1					200	Act 2 (N) Good	3	scm	25	9sm	32															0
Flying Scimitar (H)	1					200	Act 2 (H) Good	3	scm	7	9sm	18	7sm	32													0
Mephisto	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 4 Equip A	52	Act 4 Junk	5	Act 4 Good	3													0
Mephisto (N)	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 4 (N) Equip A	52	Act 4 (N) Junk	5	Act 4 (N) Good	3													0
Mephisto (H)	7	983	983	983	1024	15	"gld,mul=2048"	5	Act 4 (H) Equip A	52	Act 4 (H) Junk	5	Act 4 (H) Good	3													0
Diablo	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 5 Equip A	52	Act 5 Junk	5	Act 5 Good	3													0
Diablo (N)	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 5 (N) Equip A	52	Act 5 (N) Junk	5	Act 5 (N) Good	3													0
Diablo (H)	7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip A	52	Act 5 (H) Junk	5	Act 5 (H) Good	3													0
Summoner	5	800	800	800	1024	19	"gld,mul=1280"	9	Act 2 Equip C	15	Act 3 Junk	5	Act 2 Good	3	Act 3 Magic A	4											0
Summoner (N)	5	800	800	800	1024	19	"gld,mul=1536"	9	Act 2 (N) Equip C	15	Act 3 (N) Junk	5	Act 2 (N) Good	3	Act 3 (N) Magic A	4											0
